"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,2,300,300,0,1905,46,1814,40,9.31112e+08,4.6,43.85,42,7365
2,2,300,300,0,1905,46,1868,46,8.3185e+08,4.71739,36.6304,47,7334
3,2,300,300,0,1905,46,1872,46,9.40919e+08,4.76087,27.7609,46,7204
4,2,300,300,0,1905,46,1890,46,8.26476e+08,4.6087,34.1957,47,7401
5,2,300,300,0,1905,46,1897,45,1.1382e+09,4.8,65.6667,47,7429
6,2,300,300,0,1905,46,1758,41,9.00016e+08,4.63415,33.6829,43,6632
7,2,300,300,0,1905,46,1885,46,1.02037e+09,4.80435,40.8261,45,7281
8,2,300,300,0,1905,46,1818,46,9.08806e+08,4.58696,45.5435,45,7464
9,2,300,300,0,1905,46,1865,46,8.83436e+08,4.65217,22.1739,45,7706
10,2,300,300,0,1905,46,1798,46,9.73215e+08,4.54348,46.3696,40,6541
11,2,300,300,0,1905,46,1886,41,1.09347e+09,4.4878,63.4146,45,7138
12,2,300,300,0,1905,46,1866,45,9.58588e+08,5.06667,45.6444,49,7390
13,2,300,300,0,1905,46,1889,45,8.80908e+08,4.71111,27.0667,47,7488
14,2,300,300,0,1905,46,1896,46,8.75845e+08,4.28261,34.5217,48,7513
15,2,300,300,0,1905,46,1822,40,8.39492e+08,4.525,25.9,44,6794
16,2,300,300,0,1905,46,1901,46,7.40167e+08,4.17391,25.3478,45,7480
17,2,300,300,0,1905,46,1877,46,1.02253e+09,4.76087,30.5217,46,7396
18,2,300,300,0,1905,46,1830,34,8.36296e+08,4.38235,36.7647,43,6865
19,2,300,300,0,1905,46,1871,46,9.6895e+08,4.95652,45.1304,45,7077
20,2,300,300,0,1905,46,1809,46,8.55615e+08,4.56522,36.0217,42,6741
21,2,300,300,0,1905,46,1847,44,9.75111e+08,5.27273,44.5,39,6546
22,2,300,300,0,1905,46,1894,46,9.91254e+08,4.80435,36.6522,47,7536
23,2,300,300,0,1905,46,1887,45,1.01577e+09,4.48889,50.7333,42,6787
24,2,300,300,0,1905,46,1864,42,9.48516e+08,4.54762,41.0952,46,7470
25,2,300,300,0,1905,46,1880,46,9.41284e+08,4.67391,36.8478,52,7672
