"id","Actual Range","Protocol","Buildings","Sensors","Nodes disabled","Total nodes","Vehicles enabled","Vehicles on circ","Total vehicles coverage","Vehicles coverage on circ","Alert received mean time","Mean hops","Mean slots","Messages sent","Messages received","Messages sent by sensors","Messages received by sensors"
1,300,300,1,0,0,361,295,34,131,17,6.43073e+09,4.23529,858.471,49,419,0,0,
2,300,300,1,0,0,361,295,34,111,12,2.04995e+09,2.83333,240.75,40,357,0,0,
3,300,300,1,0,0,361,295,34,104,8,1.7055e+09,2.625,190,38,316,0,0,
4,300,300,1,0,0,361,295,34,100,15,4.0506e+09,3.13333,539.667,35,318,0,0,
5,300,300,1,0,0,361,295,34,126,15,2.76784e+09,3.8,316.4,47,423,0,0,
6,300,300,1,0,0,361,295,34,107,17,1.67174e+09,3.29412,168.588,37,339,0,0,
7,300,300,1,0,0,361,295,34,104,10,1.69992e+09,2.7,184.2,39,335,0,0,
8,300,300,1,0,0,361,295,34,132,17,2.86288e+09,3,356.765,43,407,0,0,
9,300,300,1,0,0,361,295,34,120,16,2.92973e+09,3.3125,369.125,46,425,0,0,
10,300,300,1,0,0,361,295,34,131,16,3.65936e+09,3.4375,452.688,44,419,0,0,
