"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,300,300,0,1073,22,1016,22,9.88775e+08,4.95455,32.9545,45,3742,
1,1,300,300,0,1073,51,1020,49,1.14267e+09,5.18367,37.9184,43,3685,
2,1,300,300,0,1073,24,1006,23,1.13831e+09,5.04348,45,42,3543,
3,1,300,300,0,1073,35,1020,35,9.77145e+08,4.65714,40.8571,45,3430,
4,1,300,300,0,1073,25,1017,25,9.35306e+08,4.56,38.44,50,4031,
5,1,300,300,0,1073,41,998,33,1.39051e+09,5.78788,48.1212,46,3631,
6,1,300,300,0,1073,33,1026,33,8.8662e+08,5.36364,32.5455,47,3717,
7,1,300,300,0,1073,46,1013,41,1.23896e+09,5.39024,52.4878,48,3833,
8,1,300,300,0,1073,36,975,32,1.15759e+09,5.5,53.0625,43,3535,
9,1,300,300,0,1073,37,956,23,1.20731e+09,5.17391,66.087,46,3599,
10,1,300,300,0,1073,54,1021,51,1.28914e+09,5.84314,55.6275,44,3722,
11,1,300,300,0,1073,33,1009,33,1.12077e+09,5.90909,47.3333,47,3701,
12,1,300,300,0,1073,32,1000,24,1.16235e+09,4.70833,51.8333,44,3366,
13,1,300,300,0,1073,33,1019,29,1.06461e+09,5.48276,56.7586,48,3977,
