"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
1,1,500,300,1,2224,50,1110,40,2.46441e+11,3.65,9.30949e+07,36,4455
2,1,500,300,1,2224,50,739,48,1.76243e+11,4.22917,1.98005e+08,22,2964
3,1,500,300,1,2224,50,1226,27,1.33713e+09,3.88889,101.519,52,7083
4,1,500,300,1,2224,50,1026,24,4.7392e+09,3.91667,589.5,37,4727
5,1,500,300,1,2224,50,1498,46,8.70113e+10,3.91304,3.51858e+08,61,8123
6,1,500,300,1,2224,50,853,40,5.70524e+11,12.125,8.23939e+08,37,4997
7,1,500,300,1,2224,50,1157,44,3.06947e+11,4.56818,3.07971e+08,40,5322
8,1,500,300,1,2224,50,1270,22,3.63338e+09,5.09091,393.818,52,7334
9,1,500,300,1,2224,50,1545,44,4.75471e+11,4.56818,2.38395e+08,51,7372
10,1,500,300,1,2224,50,1566,42,2.77352e+11,4.52381,2.23266e+08,53,7867
11,1,500,300,1,2224,50,1331,45,1.99443e+11,5.42222,2.72045e+08,60,7924
12,1,500,300,1,2224,50,1680,27,2.66416e+09,5.37037,255.074,57,8109
13,1,500,300,1,2224,50,1391,30,2.83094e+09,4.06667,325.567,60,8862
14,1,500,300,1,2224,50,1538,35,3.48997e+11,5.08571,2.85157e+08,55,8402
15,1,500,300,1,2224,50,344,0,-nan,-nan,-nan,16,1552
16,1,500,300,1,2224,50,1257,29,3.82845e+10,4.03448,1.33349e+07,36,5616
17,1,500,300,1,2224,50,543,28,2.46855e+11,4.25,2.0277e+08,16,1861
18,1,500,300,1,2224,50,785,20,5.48805e+10,5.85,8.59075e+07,37,4984
19,1,500,300,1,2224,50,1037,32,2.75548e+10,3.375,1.15208e+08,35,4493
20,1,500,300,1,2224,50,899,17,2.34081e+09,4.23529,233.118,28,3694
21,1,500,300,1,2224,50,1445,37,9.74446e+10,5.02703,4.06295e+08,48,6902
22,1,500,300,1,2224,50,1169,44,1.09258e+11,4.65909,2.60465e+07,39,5032
23,1,500,300,1,2224,50,341,0,-nan,-nan,-nan,13,1312
24,1,500,300,1,2224,50,318,0,-nan,-nan,-nan,14,1366
25,1,500,300,1,2224,50,718,29,2.70498e+10,4.13793,1.17252e+08,25,3124
